"","name","Order","Species","MGMT","DBM","PDBM","Age"
"1","AMPL5YZ","Pleuronectiformes","platessoides","NOAA",-1.23221452052304,-13.0881846773219,"Old"
"2","ARFLOUNDBSAIf","Pleuronectiformes","stomias","NOAA",1.05219190142317,10.4839716959603,"Old"
"3","ARFLOUNDBSAIm","Pleuronectiformes","stomias","NOAA",1.09952200693374,13.9771720500234,"Old"
"4","BWHITNEA","Gadiformes","poutassou","ICES",-0.705363941625819,-5.57493178733995,"Old"
"6","COD3Pn4RS","Gadiformes","morhua","DFO",-1.59090901102109,-15.5617031003042,"Old"
"7","COD4TVn","Gadiformes","morhua","DFO",-1.67638141373487,-20.0087544359865,"Old"
"8","CODBA2224","Gadiformes","morhua","ICES",-0.275360830076894,-3.37294301296856,"Old"
"9","CODBA2532","Gadiformes","morhua","ICES",-0.58298131877898,-5.74556093463708,"Old"
"10","CODCOASTNOR","Gadiformes","morhua","ICES",-0.172809677071918,-1.65978063139714,"Old"
"11","CODCS","Gadiformes","morhua","ICES",-0.990831983247828,-13.7624830706305,"Old"
"12","CODFAPL","Gadiformes","morhua","ICES",-0.246675151200097,-3.18745715874933,"Old"
"13","CODGB_TRAC","Gadiformes","morhua","DFONOAA",-2.23112098299657,-24.8692378412159,"Old"
"14","CODGB-GARM","Gadiformes","morhua","NOAA",-2.56913980168236,-28.548808788932,"Old"
"15","CODGOM","Gadiformes","morhua","NOAA",-0.289482260340483,-3.65301698090463,"Old"
"16","CODICE","Gadiformes"," morhua","ICES",-3.68940490248894,-29.2733408627673,"Old"
"17","CODNEAR","Gadiformes","morhua","ICES",-2.44430714457181,-17.7792977805773,"Old"
"18","CODNS","Gadiformes","morhua","ICES",-1.93493187658727,-17.4443423278509,"Old"
"19","CODVIa","Gadiformes","morhua","ICES",-1.31170105410999,-17.2657737916171,"Old"
"20","FMEG8c9a","Pleuronectiformes","boscii","ICES",-0.535895560035883,-7.79020822198197,"Old"
"21","GHALBSAIf","Pleuronectiformes","hippoglossoides","NOAA",-1.72711228046478,-14.0282105516196,"Old"
"22","GHALBSAIm","Pleuronectiformes","hippoglossoides","NOAA",-1.48774135918378,-13.5946906352204,"Old"
"23","GHALNEAR","Gadiformes","aeglefinus","ICES",0.560132894803546,5.82583454038019,"Old"
"25","GRAMBERSATLC","Perciformes","dumerili","NOAA",-2.39755395180566,-27.8393140014143,"Old"
"26","HAD5Y","Gadiformes","aeglefinus","NOAA",1.16267870888333,16.641393400692,"Old"
"27","HADFAPL","Gadiformes","aeglefinus","ICES",0.495765183042131,6.37752872076644,"Old"
"28","HADGB-TRAC","Gadiformes","aeglefinus","DFONOAA",1.4294077803245,16.650817538607,"Old"
"29","HADICE","Gadiformes","aeglefinus","ICES",0.705486146576471,8.01777847677592,"Old"
"30","HADIS","Gadiformes","aeglefinus","ICES",1.97939052710766,73.198980629803,"Old"
"31","HADNEAR","Gadiformes","aeglefinus","ICES",0.462990278445091,4.77421945359281,"Old"
"32","HADNS-IIIa","Gadiformes","aeglefinus","ICES",3.04304218254857,35.8184459041236,"Old"
"33","HADVIa","Gadiformes","aeglefinus","ICES",-0.0315608641979228,-0.379622614258801,"Old"
"34","HADVIIb-k","Gadiformes","aeglefinus","ICES",-0.14380984698026,-1.85695019093377,"Old"
"35","HADVlb","Gadiformes","aeglefinus","ICES",0.455517222834053,6.27563365364625,"Old"
"36","HERR2224IIIa","Clupeiformes","harengus","ICES",-0.480425291212127,-4.30625277068105,"Old"
"37","HERR2532","Clupeiformes","harengus","ICES",-1.43788994171602,-10.7895043454403,"Old"
"38","HERR30","Clupeiformes","harengus","ICES",1.27072371232821,11.9521472688538,"Old"
"39","HERR4TFA","Clupeiformes","harengus","DFO",1.78577798538468,21.3680094897668,"Old"
"40","HERR4TSP","Clupeiformes","harengus","DFO",-1.58864069097597,-16.8101650145416,"Old"
"41","HERRCS","Clupeiformes","harengus","ICES",-1.14919042221286,-11.4062879938862,"Old"
"42","HERRNS","Clupeiformes","harengus","ICES",0.26511360528229,2.14518186355527,"Old"
"43","HERRNWATLC","Clupeiformes","harengus","DFONOAA",-0.37918494229541,-2.85860493106156,"Old"
"44","HERRRIGA","Clupeiformes","harengus","ICES",0.964101319597541,11.7292752536943,"Old"
"45","HERRVa","Clupeiformes","harengus","ICES",0.0973536126773649,0.924529873376864,"Old"
"46","HERRVIa","Clupeiformes","harengus","ICES",0.0587651538633782,0.577826324964264,"Old"
"47","KMACKGM","Perciformes","cavalla","NOAA",0.375411898930199,2.41338654667909,"Old"
"48","MEG8c9a","Pleuronectiformes","whiffiagonis","ICES",-1.03926279684338,-16.9077828542119,"Old"
"49","MENATLAN","Clupeiformes","tyrannus","NOAA",-1.89059471006136,-22.4118671860179,"Old"
"50","NRSOLEEBSAIf","Pleuronectiformes","polyxystra","NOAA",2.13013356742557,19.9569744112022,"Old"
"51","NRSOLEEBSAIm","Pleuronectiformes","polyxystra","NOAA",3.00651446234819,32.7964760637306,"Old"
"52","NSHMack","Perciformes","trachurus","ICES",-0.370185397961999,-3.52963885349551,"Old"
"53","PLAIC7d","Pleuronectiformes","platessa","ICES",-0.435525591861328,-7.30353438424391,"Old"
"54","PLAICCELT","Pleuronectiformes","platessa","ICES",-0.296185943966512,-5.57614102261267,"Old"
"55","PLAICECHW","Pleuronectiformes","platessa","ICES",-0.547690509580093,-9.29157236527858,"Old"
"56","PLAICIS","Pleuronectiformes","platessa","ICES",-0.160298155603662,-2.13897850763049,"Old"
"57","PLAICNS","Pleuronectiformes","platessa","ICES",-0.920446159450728,-8.04347002308523,"Old"
"58","POLLFAPL","Gadiformes","virens","ICES",-1.80681889151912,-19.2503030551114,"Old"
"59","POLLGBGOM","Gadiformes","virens","NOAA",-0.255205802172643,-2.06024283623147,"Old"
"60","POLLICE","Gadiformes","virens","ICES",-0.175116127467454,-7.13899002273775,"Old"
